系列,名称,克重,原价,875折价,每克单价
点钻吊坠系列,玫瑰花窗钻饰吊坠,27,65000,56875,2106
点钻吊坠系列,金轮钻饰吊坠,15,29770,26049,1737
点钻吊坠系列,十字金刚杵,20,48500,42438,2122
点钻吊坠系列,金刚喂乌盒钻饰吊坠,36,76360,66815,1856
点钻吊坠系列,太阳图腾钻饰锁骨链,8.6,20460,17903,2082
点钻吊坠系列,花丝钻饰古钱纹平安扣吊坠,35,75180,65783,1880
素金吊坠系列,八宝随身金佛吊坠（绳链款）,42,74020,64768,1542
点钻吊坠系列,花丝钻饰福寿平安锁吊坠,18,40980,35858,1992
点钻吊坠系列,花丝钻饰金龙/金凤香囊吊坠,67,138860,121503,1813
点钻吊坠系列,平安宝杵（2号）钻饰锁骨链,8,17880,15645,1956
点钻吊坠系列,如意圆满钻饰吊坠,14,30390,26591,1899
点钻吊坠系列,麒麟平安锁钻饰吊坠,16,36000,31500,1969
点钻吊坠系列,福禄钻饰吊坠,10,18990,16616,1662
点钻吊坠系列,真言转经轮钻饰吊坠,21,43430,38001,1810
点钻吊坠系列,白钻双色曼陀罗吊坠,28,69030,60401,2157
点钻吊坠系列,三色曼陀罗吊坠,28,69430,60751,2170
点钻吊坠系列,金刚杵（2号）钻饰吊坠（转动款）,20,43300,37888,1894
素金吊坠系列,九股金刚杵吊坠（绳链款）,30,50560,44240,1475
点钻吊坠系列,貔貅（3号）钻饰吊坠（金链款）,15,32180,28158,1877
素金吊坠系列,七子葫芦吊坠（绳链款）,17,33150,29006,1706
点钻吊坠系列,天珠（1号）钻饰吊坠,14,28580,25008,1786
点钻吊坠系列,十字架2号钻饰吊坠（金链款）,19,42390,37091,1952
点钻吊坠系列,金珠算盘钻饰吊坠（金链款）,20,42500,37188,1859
点钻吊坠系列,十字架1号宝石吊坠（金链款）,26,56620,49543,1905
点钻吊坠系列,花丝珐琅福寿平安锁吊坠,17,29500,25813,1518
点钻吊坠系列,太阳花（3号）钻饰吊坠,8,19500,17063,2133
点钻吊坠系列,花丝珐琅钻饰光明女神蝴蝶吊坠,12,27300,23888,1991
点钻吊坠系列,神龙玄凤钻饰吊坠（金链款）,16,33300,29138,1821
点钻吊坠系列,十字架1号钻饰吊坠（金链款）,14,29020,25393,1814
点钻吊坠系列,玫瑰花（2号）钻饰吊坠（金链·转动款）,14,36800,32200,2300
手链系列,六字真言宝石手环,21,46500,40688,1938
手链系列,老铺1号单圈钻饰手珠,22,52300,45763,2080
手链系列,金瓜钻饰福珠,25,56320,49280,1971
手链系列,老铺（18号）三圈福珠,60,114650,100319,1672
手链系列,十字金刚杵钻饰福珠,44,141100,123463,2806
手链系列,四时吉祥钻饰福珠,44,120000,105000,2386
手链系列,花丝如意祥云纹手镯,85,139390,121966,1435
手镯系列,贝齿纹钻饰手镯,30,77990,68241,2275
手镯系列,贝齿纹手镯,41,78320,68530,1671
手镯系列,真言贝齿纹钻饰手镯,35,65200,57050,1630
手镯系列,花丝钻饰宝钱纹手镯,51,99800,87325,1712
手镯系列,方胜纹（1号）钻饰手镯,47,116830,102226,2175
戒指系列,方圆（1号）钻戒（窄边款）,5,14600,12775,2555
戒指系列,十字金刚杵（2号）钻戒,11,28000,24500,2227
戒指系列,和合1号红宝石钻戒,7,22650,19819,2831
戒指系列,大麦（2号）钻戒,9,21300,18638,2071
戒指系列,方胜纹（1号）钻戒,9,22480,19670,2186
戒指系列,繁星钻戒（宽边款）,6,20680,18095,3016
戒指系列,玫瑰花钻戒,5,15230,13326,2665
戒指系列,繁星钻戒（窄边款）,6,15230,13326,2221
戒指系列,玫瑰花窗（1号）钻戒,9,24490,21429,2381
戒指系列,宝钱纹（2号）戒指,7,16330,14289,2041
戒指系列,宝钱纹（1号）钻戒,5,14200,12425,2485
戒指系列,十字金刚杵（3号）钻戒,8,27070,23686,2961
戒指系列,太阳花（1号）钻戒,8,18960,16590,2074
戒指系列,永恒之翼钻戒,16,29150,25506,1594
戒指系列,和合2号钻戒,9,32690,28604,3178
耳饰系列,太阳图腾钻饰耳钉,3.6,14730,12889,3580
耳饰系列,十字金刚杵（1号）钻饰耳钉,3.6,13390,11716,3255
耳饰系列,玫瑰花窗钻饰耳钉,5,19200,16800,3360
耳饰系列,黄金钻饰养耳针,1.1,4860,4253,3866
耳饰系列,玫瑰花（1号）钻饰耳钉,3,12390,10841,3614
耳饰系列,玫瑰花窗（1号）宝石耳钉,6,19600,17150,2858
耳饰系列,花丝钻饰蝴蝶耳钉,3,9880,8645,2882
耳饰系列,太阳花（3号）钻饰耳钉,5,21500,18813,3763
胸针系列,十字金刚杵（2号）胸针,8.4,30850,26994,3214
胸针系列,花丝钻饰蝴蝶（1号）胸针,17,41800,36575,2151
