系列,名称,克重,标价,标价折合克,875折价,875折后折合克
手镯手串系列,九铃手链,32.8,49490,1509,43304,1320
素金吊坠系列,葫芦吊坠（绳链款大号）,36.2,57000,1575,49875,1378
素金吊坠系列,葫芦吊坠（绳链款中号）,26.39,41850,1586,36619,1388
手镯手串系列,貔貅福珠,124.4,189530,1524,165839,1333
手镯手串系列,青铜纹手镯儿童款,26.39,40500,1535,35438,1343
手镯手串系列,三铃手链,21,32300,1538,28263,1346
素金吊坠系列,六字真言金球锁骨链（线上专款）,8.39,13450,1603,11769,1403
手镯手串系列,贝齿纹手镯（55-57）,49.6,77870,1570,68136,1374
手镯手串系列,十字金刚杵手镯（53-55）,41,64850,1582,56744,1384
手镯手串系列,青铜纹手镯（55-57）,58,92800,1600,81200,1400
素金吊坠系列,葫芦（1号）吊坠（素金款配链、中号）,19,31460,1656,27528,1449
典藏系列,竹节金笔,70.8,116870,1651,102261,1444
手镯手串系列,花丝如意祥云纹手镯（宽边55）,71.8,117930,1642,103189,1437
手镯手串系列,花丝如意祥云纹手镯（窄边55）,42.2,70150,1662,61381,1455
手镯手串系列,老铺松石单圈福珠（28号）,45.39,75630,1666,66176,1458
素金吊坠系列,九股金刚杵吊坠（绳链款）,31,52260,1686,45728,1475
典藏系列,关公吊坠（绳链款）,93.8,158050,1685,138294,1474
手镯手串系列,玫瑰花钻饰手镯（53）,31.8,53270,1675,46611,1466
素金吊坠系列,大鹏金翅鹏吊坠（绳链款）,40.2,68270,1698,59736,1486
素金吊坠系列,飞龙吊坠（绳链款）,53.2,90430,1700,79126,1487
素金吊坠系列,大威金刚吊坠（绳链款）,32.6,55450,1701,48519,1488
典藏系列,花丝金龙/金凤香囊项链（珐琅款珠链）,151.2,257500,1703,225313,1490
素金吊坠系列,谛听金铃吊坠（绳链款中号）,30.6,52100,1703,45588,1490
素金吊坠系列,平安如意生肖吊坠（绳链款）,31.6,53850,1704,47119,1491
素金吊坠系列,貔貅吊坠（绳链款）,33,56280,1705,49245,1492
素金吊坠系列,花丝葫芦（2号）吊坠（绳链款中号）,24.39,41780,1713,36558,1499
素金吊坠系列,谛听金铃吊坠（绳链款小号）,21.39,36670,1714,32086,1500
素金吊坠系列,古钱纹平安扣吊坠（绳链款）,23.6,40670,1723,35586,1508
素金吊坠系列,花丝麒麟献瑞福袋吊坠（绳链款）,20,34700,1735,30363,1518
素金吊坠系列,大鹏金翅鸟（1号）吊坠（绳链款）,40.39,70090,1735,61329,1518
素金吊坠系列,八宝随身金佛吊坠（绳链款）,42.2,74370,1762,65074,1542
典藏系列,3号提珠（松石款）,132.8,233200,1756,204050,1537
典藏系列,黄金貔貅手把件,200,351800,1759,307825,1539
典藏系列,飞龙金牌手把件,206,362390,1759,317091,1539
典藏系列,黄金金蟾手把件,181.2,318900,1760,279038,1540
点钻吊坠系列,金珠钻饰锁骨链,9.39,16570,1765,14499,1544
素金吊坠系列,花丝葫芦（2号）吊坠（绳链款小号）,19.8,35180,1777,30783,1555
素金吊坠系列,花丝真言喂马盒宝石吊坠（绳链款）,35.6,63320,1777,55405,1556
素金吊坠系列,神龙玄风吊坠（金链款）,16.6,29550,1780,25856,1558
典藏系列,花丝金龙/金凤香囊吊坠（绳链款）,77,137100,1781,119963,1558
典藏系列,鸳鸯和合摆件（素金款）,292.2,522000,1786,456750,1563
典藏系列,锤纹金勺,37.8,67650,1790,59194,1566
素金吊坠系列,花丝福在眼前平安锁吊坠（绳链款）,32,57200,1788,50050,1564
素金吊坠系列,花丝如意圆满吊坠（绳链款大号）,49,88350,1803,77306,1578
素金吊坠系列,花丝如意圆满吊坠（绳链款中号）,31.8,57350,1803,50181,1578
素金吊坠系列,花丝八宝吊坠（绳链款中号）,31.39,56860,1811,49753,1585
素金吊坠系列,天珠（2号）吊坠（绳链款）,14,25360,1811,22190,1585
典藏系列,花丝如意金蝉,101,181880,1801,159145,1575
典藏系列,花丝八宝香熏球,97.8,176380,1803,154333,1578
